title,author,date,abstract,url
Vegan Chili,J. Kenji L車pez-Alt,2020-03-04T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020866-vegan-chili
Vegan Cheeseburgers,J. Kenji L車pez-Alt,2020-03-04T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020867-vegan-cheeseburgers
Vegan Lasagna,Gena Hamshaw,2020-03-11T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020929-vegan-lasagna
Vegan Pancakes,Gena Hamshaw,2020-04-10T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021002-vegan-pancakes
Vegan Pizza,Gena Hamshaw,2020-04-22T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021008-vegan-pizza
Vegan Doughnuts,Nicole Taylor,2020-12-23T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021721-vegan-doughnuts
Vegan Soups Ready to Reheat,By Florence Fabricant,2020-01-28T01:46:38+0000,"Good Stock, which has a cafe in the West Village, now sells its vegan and vegetarian soups online.",https://www.nytimes.com/2020/01/27/dining/good-stock-soups.html
Vegan Onion Dip,Yossy Arefi,2020-07-29T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021261-vegan-onion-dip
Vegan Fettuccine Alfredo,Gena Hamshaw,2020-04-24T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021040-vegan-fettuccine-alfredo
Turn to Jackfruit for a Vegan Snack,By Florence Fabricant,2020-03-02T23:52:58+0000,"Seril＊s Chakka Chips are made from the tree fruit, which is lightly fried in coconut oil.",https://www.nytimes.com/2020/03/02/dining/jackfruit-chakka-chips.html
Vegan Mushroom and Leek Rolls,Melissa Clark,2020-10-21T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021541-vegan-mushroom-and-leek-rolls
Vegan Chocolate Chip Cookies,Erin Jeanne McDowell,2020-02-19T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020873-vegan-chocolate-chip-cookies
Creamy Vegan Tofu Noodles,Hetty Lui McKinnon,2020-12-09T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021508-creamy-vegan-tofu-noodles
Vegan Ice Creams With Cheffy Flavors,By Florence Fabricant,2020-07-20T20:21:00+0000,"Eclipse Foods has collaborated with chefs around the country on plant-based ice cream flavors, with some proceeds going to charitable causes.",https://www.nytimes.com/2020/07/20/dining/vegan-ice-cream-eclipse.html
Vegan Green Bean Casserole,Gena Hamshaw,2020-11-06T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021624-vegan-green-bean-casserole
"The Joy of Vegan Cooking, 60 Seconds at a Time",By Sandra E. Garcia and Rozette Rago,2020-05-13T11:00:11+0000,"Tabitha Brown, an unlikely TikTok star, draws on challenges from her past to soothe millions of followers who are trapped inside during a pandemic.",https://www.nytimes.com/2020/05/13/style/self-care/tabitha-brown-vegan-tiktok.html
Vegan Cacio e Pepe,Alexa Weibel,2020-01-01T00:00:00+0000,,https://cooking.nytimes.com/recipes/1020729-vegan-cacio-e-pepe
Vegan Matzo Ball Soup,Joan Nathan,2020-09-07T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021393-vegan-matzo-ball-soup
How a Vegan Ends Up With Leather in Her Portfolio,By Ron Lieber,2020-02-07T18:55:54+0000,"To invest while supporting animal welfare, socially conscious funds may support Chipotle, but not Burger King and its Impossible Whopper.",https://www.nytimes.com/2020/02/07/your-money/vegan-investing-animal-welfare.html
Vegan Coconut-Ginger Black Beans,Ali Slagle,2020-05-20T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021097-vegan-coconut-ginger-black-beans
Vegan Frozen Coconut Lime Bars,Lidey Heuck,2020-07-10T00:00:00+0000,,https://cooking.nytimes.com/recipes/1021238-vegan-frozen-coconut-lime-bars
